added_year,n_interactions,n_romantasy_interactions,share_romantasy_interactions
101,1,0,0.0
1012,7,0,0.0
1032,1,0,0.0
1042,1,0,0.0
1052,3,0,0.0
1072,2,0,0.0
1092,1,0,0.0
1943,1,0,0.0
1977,86,0,0.0
1990,6,0,0.0
1991,1,0,0.0
1992,4,0,0.0
1993,3,0,0.0
1994,13,3,0.23076923076923078
1995,3,0,0.0
1996,16,0,0.0
1997,10,0,0.0
1998,41,0,0.0
1999,54,3,0.05555555555555555
2000,43,3,0.06976744186046512
2001,1991,357,0.17930688096433953
2002,377,163,0.4323607427055703
2003,410,81,0.1975609756097561
2004,586,107,0.1825938566552901
2005,1486,209,0.14064602960969044
2006,4591,357,0.07776083641908081
2007,1210428,145287,0.1200294441305059
2008,3334540,500472,0.150087268408836
2009,4746144,978224,0.20610921202559382
2010,6916845,1810505,0.2617530102235918
2011,14133277,3937444,0.278593846282076
2012,25204293,6649764,0.2638345777046791
2013,32616190,7677103,0.23537706274092712
2014,34738069,7878236,0.2267896928870744
2015,35720725,7584982,0.2123412108796784
2016,39317125,7693830,0.195686485214776
2017,30700968,5346335,0.17414222900072726
