pub_year,n_books,n_romantasy,n_fantasy_only,n_romance_only,share_romantasy
1960,1244,6,104,45,0.00482315112540193
1961,1390,14,99,58,0.010071942446043165
1962,1494,8,110,67,0.00535475234270415
1963,1543,31,132,53,0.020090732339598186
1964,1740,11,147,81,0.00632183908045977
1965,1825,24,143,55,0.01315068493150685
1966,1873,21,123,68,0.011211959423384944
1967,1987,26,129,55,0.013085052843482638
1968,2283,18,205,89,0.00788436268068331
1969,2328,19,205,79,0.00816151202749141
1970,2502,28,244,86,0.011191047162270184
1971,2542,15,245,82,0.005900865460267506
1972,2720,15,268,80,0.0055147058823529415
1973,2902,17,298,84,0.00585802894555479
1974,2931,19,303,98,0.006482429205049471
1975,3087,30,357,111,0.009718172983479106
1976,3296,23,368,102,0.006978155339805826
1977,3688,28,465,136,0.007592190889370932
1978,3820,34,443,181,0.008900523560209424
1979,3955,45,494,161,0.011378002528445006
1980,4117,36,438,206,0.008744231236337139
1981,4522,51,534,237,0.011278195488721804
1982,4824,61,522,253,0.012645107794361525
1983,5228,52,615,298,0.009946442234123947
1984,5791,100,659,319,0.01726817475392851
1985,6218,72,771,327,0.011579285944033452
1986,6771,107,899,313,0.015802687933835474
1987,7568,99,958,358,0.01308139534883721
1988,8290,107,935,383,0.012907117008443908
1989,8875,123,885,391,0.013859154929577466
1990,9711,133,984,453,0.013695808876531768
1991,10482,124,1000,579,0.01182980347261973
1992,11518,189,1042,632,0.016409098801875327
1993,12775,214,1193,765,0.01675146771037182
1994,13743,256,1229,836,0.01862766499308739
1995,15442,254,1334,883,0.016448646548374562
1996,16808,275,1490,989,0.016361256544502618
1997,18823,300,1473,1021,0.015937948254794665
1998,21035,386,1621,1245,0.018350368433563108
1999,23046,398,1884,1364,0.01726980820966762
2000,26452,458,2165,1601,0.017314380765159534
2001,28229,621,2394,1774,0.021998653866591094
2002,31110,754,2645,2142,0.02423657987785278
2003,35387,1026,3159,2537,0.028993698250770056
2004,39099,1368,3479,2899,0.03498810711271388
2005,45476,1690,3885,3469,0.037162459319201334
2006,51178,1888,4248,4052,0.036890851537770136
2007,60922,2733,5131,4847,0.04486064147598569
2008,68488,3546,5771,5849,0.051775493517112484
2009,77452,5151,6511,7827,0.06650570676031607
2010,91230,7284,7659,9201,0.07984215718513647
2011,116963,10264,9670,12841,0.08775424706958611
2012,151180,11886,11536,17260,0.07862151078184945
2013,163752,10887,11860,22363,0.06648468415652939
2014,156410,8992,10773,20806,0.05748993031136117
2015,135735,6834,9690,17323,0.05034810476295723
2016,122417,5160,8402,14100,0.04215100843837049
2017,73019,2912,4388,8236,0.03988003122474972
2018,1823,40,249,96,0.021941854086670324
2019,112,4,32,7,0.03571428571428571
