book_id,n_romantasy_interactions,title,share_within_romantasy,share_of_total
2767052,223336,"The Hunger Games (The Hunger Games, #1)",0.013186693541220847,0.001965835812853515
6148028,148579,"Catching Fire (The Hunger Games, #2)",0.008772726921145951,0.0013078138734371639
7260188,144184,"Mockingjay (The Hunger Games, #3)",0.008513227699732182,0.0012691284470057278
13335037,102860,"Divergent (Divergent, #1)",0.006073285532336821,9.053886149573403E-4
256683,93087,"City of Bones (The Mortal Instruments, #1)",0.00549624664931594,8.193652537481425E-4
968,91549,"The Da Vinci Code (Robert Langdon, #2)",0.005405436682868983,8.058275550333419E-4
49041,88905,"New Moon (Twilight, #2)",0.005249323840680586,7.825546841608239E-4
428263,88147,"Eclipse (Twilight, #3)",0.0052045683435630345,7.758826583963123E-4
1162543,87231,"Breaking Dawn (Twilight, #4)",0.005150483864196706,7.678198937521267E-4
960,87100,"Angels & Demons  (Robert Langdon, #1)",0.005142749075117024,7.666668127822705E-4
11735983,82264,"Insurgent (Divergent, #2)",0.004857211365274706,7.240996404904788E-4
14050,65204,The Time Traveler's Wife,0.0038499174591725654,5.739350500649273E-4
7171637,58307,"Clockwork Angel (The Infernal Devices, #1)",0.003442689670756008,5.132266573237181E-4
7735333,52257,"Matched (Matched, #1)",0.0030854723124958705,4.599736812349381E-4
6304335,48378,"Beautiful Creatures (Caster Chronicles, #1)",0.002856439893869247,4.2583016152446246E-4
6339664,47008,"Hush, Hush (Hush, Hush, #1)",0.0027755493515855463,4.1377122313741643E-4
24770,46817,"Uglies (Uglies, #1)",0.0027642719110189864,4.120900134790764E-4
6752378,44221,"City of Fallen Angels (The Mortal Instruments, #4)",0.002610993190020091,3.8923964555734536E-4
6487308,44108,"Fallen (Fallen, #1)",0.002604321196386472,3.882450031940343E-4
11235712,44061,"Cinder (The Lunar Chronicles, #1)",0.0026015461193884177,3.8783130238805534E-4
6068551,43017,"Shiver (The Wolves of Mercy Falls, #1)",0.002539903983516751,3.7864186320843776E-4
301082,42960,"Dead Until Dark (Sookie Stackhouse, #1)",0.0025365384646042176,3.7814014095437817E-4
10964,42290,"Outlander (Outlander, #1)",0.0024969788563340865,3.722427039329761E-4
1420,41700,Hamlet,0.002462142783379792,3.6704943849621903E-4
18710190,41682,"Allegiant (Divergent, #3)",0.002461079987933729,3.668909998896739E-4
9275658,41260,"Legend (Legend, #1)",0.0024361633391426912,3.631764947806714E-4
8755776,39648,"City of Lost Souls (The Mortal Instruments, #5)",0.0023409841025285854,3.4898743735007416E-4
10507293,37930,"The Selection (The Selection, #1)",0.002239546181620996,3.3386535256982227E-4
8306857,37569,"Divergent (Divergent, #1)",0.0022182312285082832,3.306877782941116E-4
30183,36264,"Marked (House of Night, #1)",0.0021411785586687,3.192009793195896E-4
10025305,36006,"Clockwork Prince (The Infernal Devices, #2)",0.002125945157275127,3.169300259591094E-4
6334,35671,Never Let Me Go,0.0021061653531400616,3.139813074484084E-4
8490112,33941,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",0.0020040189019350967,2.987535969304597E-4
5043,33760,"The Pillars of the Earth (Kingsbridge, #1)",0.0019933319032830166,2.9716040872020035E-4
11614718,33437,"Delirium (Delirium, #1)",0.0019742606294453264,2.943173159471961E-4
8667848,32997,"A Discovery of Witches (All Souls Trilogy, #1)",0.0019482811852082256,2.9044437223164844E-4
6644117,32567,"The Iron King (The Iron Fey, #1)",0.0019228921828856043,2.8665944996418146E-4
10429045,32435,"Shatter Me (Shatter Me, #1)",0.001915098349614474,2.8549756684951715E-4
6482837,30831,Before I Fall,0.0018203914665319515,2.713789265773844E-4
16793,30471,Stardust,0.001799135557610687,2.6821015444648176E-4
9712,30426,Love in the Time of Cholera,0.001796478568995529,2.67814057930119E-4
8755785,30160,"City of Heavenly Fire (The Mortal Instruments, #6)",0.0017807728140703724,2.6547268741117426E-4
2282133,29730,"Frostbite (Vampire Academy, #2)",0.0017553838117477512,2.6168776514370727E-4
12578077,29046,"Obsidian (Lux, #1)",0.0017149975847973488,2.556670980949923E-4
42899,28547,"Dark Lover (Black Dagger Brotherhood, #1)",0.0016855345332648184,2.5127482783576896E-4
1622,28498,A Midsummer Night's Dream,0.0016826413678838687,2.5084352274017384E-4
2802316,28131,"Shadow Kiss (Vampire Academy, #3)",0.0016609721496224684,2.476131355956148E-4
8235178,27954,"Across the Universe (Across the Universe, #1)",0.00165052132773618,2.460551559645877E-4
3682,27281,"A Great and Terrible Beauty (Gemma Doyle, #1)",0.0016107845868917052,2.4013131250876144E-4
3975774,27279,"Evermore (The Immortals, #1)",0.0016106664985088095,2.401137082191453E-4
